id,rule,specification,classification,authority
15,Execution prices,Canonical as-traded raw open; signal-domain open used for the entry review basis.,B,R/C and pinned production review-basis correction lineage.
16,Review timing,One review at age at least 119 trading sessions; underwater and unqualified positions queue an exit.,A,R/C REVIEW_AGE and review predicate.
17,Stops and exit timing,Close-based 30% peak drawdown stop; queued exit seeks a later executable open.,A,R/C STOP_RET=0.70.
18,Replacement logic,Initial population can fill multiple ready slots; subsequent admissions are limited to one per session after initialization.,A,R/C admission loop.
19,Cooldown,21-session slot and security cooldown after ordinary release/settlement.,A,R/C COOLDOWN and sec_ready.
20,Ranking,"Momentum from lagged 21/126-session closes; risk-normalized log-momentum score; top max(25,ceil(10% of eligible)) momentum pool; deterministic permanent-ID tie breaks.",A,"R/C feature, pool, and durable-ranking code. Exact formulas remain in the pinned generated program."
21,Fresh-entry momentum,Nonnegative recent return required for admission.,A,R/C recent-return admission predicate.
22,Minimum history / IPOs,Listing effective by session and 126 valid return observations plus required finite features. There is no separate discretionary IPO calendar.,D,R/C listing and continuous-history gates.
23,Universe,Broad canonical security episodes satisfying price/liquidity/history/type rules. Neither S&P 500 nor Russell index membership defines these two runs.,A,R/C/K.
24,Historical security type,Certificate admits canonical `common`; unknown is excluded. Candidate adds inferred/reviewed classifications for canonical unknowns.,F,Effective intended universe and acceptable evidence standard must be resolved jointly; factual historical type alone does not prove contemporaneous availability.
25,Future classification evidence,Candidate applies PDS non-common correction on 2006-07-05 with evidence_available_from=2010-06-01.,E,"Candidate SecurityTypeEstimate._historical_correction tests effective interval, not evidence availability. Exact-source probe reproduces it."
26,Current metadata,Current SHARADAR TICKERS fields are inactive in the certificate replay. Candidate estimate provenance explicitly includes provisional/non-PIT evidence.,D,C metadata audit; candidate best-effort classification module and summary.
27,Exchange eligibility,No current-exchange gate; a current snapshot cannot establish historical exchange membership.,D,R/C explicit source annotation.
28,Permanent identity / survivorship,Canonical security episodes and action identities are consumed chronologically; dead names remain in the historical corpus.,D,K/R/C. This does not independently certify every metadata publication timestamp.
29,Issuer and sector labels,Champion uses singleton permanent-security keys for issuer/sector-dependent seams; it does not inherit production's full issuer-family policy.,A,R/C issuer_key and fixed-breadth transform.
30,Correlation/breadth,"Dynamic residual-correlation peers from strictly prior history; peer lookback 252, minimum 120 observations, up to 3 peers, correlation floor 0.145.",A,"R/C `_prior_residuals`, `_peer_corr`, `dynamic_peer_breadth`; full predicates are source-pinned."
31,Structural cash,Cash retained inside the Wealth Core shadow book receives zero yield.,A,R/C Book accounting.
32,Defensive cash,"Allocation complement receives canonical defensive-cash return factors, using BIL factors when available and lagged GS3M Treasury factors otherwise.",C,K and backtester/historical_cash.py; model applicability must be explicit in a final contract.
33,Treasury cash timing,"Previous calendar-month GS3M yield, calendar-day accrual split into overnight gap and one intraday day, annual divisor 365.2425.",C,historical_cash.py.
34,Cash data vintage,Prior-month lag is visible in code; contemporaneous publication/vintage authority has not been independently established for all adopted GS3M observations.,F,A lagged observation date is not itself a vintage-availability proof. No finding of an actual GS3M revision is asserted.
35,Dividend entitlement,"Prior-close ownership, transformed for a same-session split; open buyers receive no ex-date dividend, open sellers retain it.",B,R/C `prior_qty`; P.apply_dividends.
36,Dividend settlement lag,Candidate uses 1 session; certificate uses 15. Production explicitly adopts 1; FZ explicitly adopts 15 for formal certification.,F,Both are documented conventions. The 15-session rule predates the target certificate result. Resolve this contract conflict explicitly.
37,Dividend open-boundary accounting,Both generated paths append ex-date claims after computing open equity. Production accrues them before that allocation boundary.,E,Exact-source source probes show allocation-change dividend misattribution. Closed-book arithmetic can pass while the open entitlement is incomplete.
38,Split processing,Transform quantities before dividend entitlement and open execution; use canonical split ratio and as-traded dividends.,B,R/C/T and P.
39,Pending orders and splits,Whole-share pending entry transformations can be cancelled when integral execution quantity cannot be preserved; held fractions are retained.,B,R/C split loop and P transformation policy.
40,Known terminal terms,"Authenticated cash merger, write-off, stock conversion and mixed consideration use explicit terms; stock fractions require cash-in-lieu authority.",B,T exact_terminal_economics and frozen terminal-terms loader.
41,Unknown terminal outcomes,Both book paths can carry a C1 claim at the last positive raw mark and later convert that modeled value to cash after 10 missing sessions. This is a proxy-recovery convention.,F,"FZ names terminal grace, but applicability of full last-mark cash recovery to each uncertain claim still requires intended-model adjudication and held-path validation."
42,Delistings/liquidations/acquisitions,Canonical terminal actions and exact terms drive account transitions; no universal zero-recovery rule applies.,B,R/C/T. Actual payment timing and unknown outcomes remain item 41.
43,Terminal event ordering,Splits precede captured dividend entitlement and terminal transformations; pending fills follow. Research dividend posting is late (item 37).,B,R/C/T/P.
44,Terminal retirement,Candidate permanently removes canonical terminal IDs from eligibility and cancels pending re-entry. Certificate uses same-session cancellation and next-witness filtering.,F,Intent/economic consequence of permanent retirement versus episode authority requires explicit resolution and causal terminal knowledge.
45,Recent-leadership terminal return,"Candidate uses exact terminal consideration when available, with a zero-contribution missing-return route; certificate uses observed signal-close return and fail-closed missing data.",F,Candidate terminal lifecycle and C terminal-leadership overlay; FZ explicitly names fail-closed missing leadership.
46,Missing held marks / NAV,Candidate carries last marks and blocks new admissions when unresolved. Certificate aborts after measurement start except approved carried terminal claims with a prior positive mark.,F,FZ/C adopt stricter NAV; candidate production-parity closure chose another contract.
47,Valuation,Book NAV is cash plus dividend receivables plus held quantities times current raw marks or the admitted carried mark. A carried terminal slot is counted once.,B,R/C Book.equity; independent arithmetic and entitlement completeness are separate checks.
48,Realized/unrealized P&L,No separate authoritative realized/unrealized tax-lot report is retained by these replay artifacts. Cash/share/claim transitions permit reconstruction when complete stage evidence exists.,F,Independent full-horizon P&L and terminal-settlement reconstruction remain open.
49,Intraday causality,Whole-day volume is tested for open executability; current terminal-session close can be used during pre-open terminal accounting. Exact information-availability semantics need adversarial tests.,F,R/C/P source inspection; code order alone does not resolve data availability.
50,Commission/slippage/spread,"Constant 10bps per-side Wealth Core fill cost. No separately parameterized commission, bid/ask spread, or market-impact curve.",A,"R/C COST=0.001; this is a modeling convention, not a live fill forecast."
51,Overlay transition cost,Additional COST*abs(new allocation-old allocation) at allocation changes.,A,R/C apply_overlay.
52,Wealth Core shadow state,Shadow positions and controller observations keep evolving while the reported allocation is defensive.,A,R/C chronological run and Native/CandidateA state.
53,Sentinel / controller scope,"This replay executes the retained Native plus CandidateA allocation model. It does not run a broker account, live Sentinel reconciliation, or live execution service.",A,R/C; production-kernel tests do not establish this generated model's equivalence.
54,Frozen E3 parameters,"REC=8, R20=-0.085, V=0.11, DD=-0.10, divergence SPY floor=0, full-recovery r40 floor=0, FAST damaged=0.88, healthy damaged ceiling=0.63.",A,Profile/FZ. Unchanged throughout this audit.
55,Remaining controller predicates,"Preserve exact Native and CandidateA classes, transition ordering, histories, release routes, ordinary/FAST/SLOW dictionaries, and initial states from the pinned source.",A,Full generated program plus normalized AST hashes are the executable enumeration of these rules. No tuning is authorized.
56,Research-path promotion,Candidate A is promoted to authoritative research_nav and research_allocation; promoted series must match A exactly.,A,R/C Champion promotion and FZ.
57,Fail-closed exclusions,"Missing history, invalid prices, insufficient eligibility evidence and explicit integrity failures have distinct effects; they must be counted separately from capacity-driven deferrals.",D,R/C/K; any changed exclusion policy is an economic dimension.
58,Certification causality coverage,Existing dynamic future-poison/truncation evidence invokes the pinned production kernel. It does not execute this generated Champion program.,F,future_leak_certification_pinned_runtime.py and retained dynamic-future-leak.json. Exact-Champion scope and equivalence remain unproven.
59,Checkpoint/resume coverage,The certificate receives PASS labels; an independently checked complete checkpoint/resume chain for this exact generated Champion state has not been established by this investigation.,F,Finalizer inputs and retained test/replay evidence.
60,Portfolio accounting completeness,"Decimal reconstruction of recorded state is required, plus independent entitlement completeness, corporate-action conservation and terminal cash authority.",D,A self-consistent recorded ledger alone cannot prove every economic claim is present or justified.
